SongID,Lyrics
16,"

--Male--
Aaaaa Aaaaa
--Female--
Aaaaaa
Aaaaaa
--Male--
Meetha Sa Ishq Laage
Kadvi Judayi
Yaar Mera Sacha Laage
Jhooti Khudayi
Meetha Sa Ishq Laage
Kadvi Judayi
Yaar Mera Sacha Laage
Jhooti Khudayi
Chandni Ne Tan Pe Mere
Chaadar Bhichayee
Odha Jo Tune Mujhko
Saans Laut Aayi
Chandni Ne Tan Pe Mere
Chaadar Bhichayee
Odha Jo Tune Mujhko
Saans Laut Aayi
Ohooooo Ohhoooo
--Female--
Yeh Aalam Hai Ishq Ishq Aalam Hai
--Male--
Ohooooo Ohhoooo
--Female--
Yeh Aalam Hai Ishq Ishq Aalam Hai

--Male--
Mehndi Ka Rang Jhat Se Gehra Gaya
Ek Pal Mein Haaye Kya Hua
Payalo Ka Shor Jaane Kaise Tham Gaya
Ek Pal Mein Haaye Kya Hua
Mann Maane Na
Kuch Jaane Na
Bawra Pankhudi Sa Ude
Tana Dir Tana Tana.... 
(Aaaaa, Yeh Aalam Hai Ishq Ishq Aalam Hai)

--Male--
Bole Bina Kitna Kuch Keh Gaya
Raat Bhar Mein Sochta Raha
Ek Masiaah Mujhko Chuu Kar Gaya
Kaun Tha Mein Dhoondta Gaya
Mann Maane Na
Kuch Jaane Na
Bawra Pankhudi Sa Ude
Tana Dir Tana Tana.... 
(Aaaaa, Yeh Aalam Hai Ishq Ishq Aalam Hai)
--Male--
Meetha Sa Ishq Laage
Kadvi Judayi
Yaar Mera Sacha Laage
Jhooti Khudayi
Meetha Sa Ishq Laage..."
17,"

--Male1--
Ankhiyon Hi Ankhiyon Mein
Ratiyaan Yeh Kaatne Do
Neend Meri Udhi Udhi Re
Chaandni Mein Aaj Bheeg Lo,
Roshni Se Jism Seench Lo
--Female1--
Now All Night Slow It Down Boy,
B'coz I'm With You Tonight
My Eye On My, Let's Get It On Boy
B'coz You Are Mine Tonight
It's All About To Not
Just See You All Night Yeah
It's All About To Not
Just See You All Night Yeah
--Male2--
Jaagti Huwi Raaton Ko
Neend Bakhsh Do
Bezubaan Se Khaamoshi
Ko Lafz Bakhsh Do
Khuwahishon Sa Utho,
Barishon Sa Bhigo
Dil Kashi, Hai Dil Kashi,
Dil Kashi, Hai Dil Kashi
Dilkashi

--Female2--
Harf Harf Na Horon Se
Paalte Likho Jismon Pe
Kal Subah Padhenge Chand Se
Har Taraf Ujaala Jag Mein
Sarson Ki Siyaahi Le Ke
Kal Subah Sunenge Chand Se
--Male2--
Khushbu Ke Nishaan Na Honge
Kal Hum Tum Jawaan Na Honge
Aaj Hey Masti
Dil Kashi, Hai Dil Kashi,
Dil Kashi, Hai Dil Kashi
Dilkashi

--Male1--
Oooooo
--Female1--
Now All Night Slow It Down Boy,
B'coz I'm With You Tonight
My Eye On My, Let's Get It On Boy
B'coz You Are Mine Tonight
It's All About To Not
Just See You All Night Yeah
It's All About To Not
Just See You All Night Yeah
--Female2--
Ishq Ko Sanwarta Dekhun
Kuch To Laal Mein Bhi Dekhun
Rangon Mein Ghuloon Mein Rang Sa
Aati Jaati Saansain Meri
Keh Rahi Ke Dhadkan Thehri
Mehki Jaane Kyun Main Yaar Sa
--Male2--
Mere Toote Toote Se Sapne
Jora Tukdha Tukdha Hai Rab Ne
Jab Se Tu Hai Mili
Dil Kashi, Hai Dil Kashi,
Dil Kashi, Hai Dil Kashi
Dilkashi
Jaagti Huwi Raaton Ko
Neend Bakhsh Do
Bezubaan Se Khaamoshi Ko
Lafz Bakhsh Do
--Female2--
Khuwahishon Sa Utho,
Barishon Sa Bhigo
--Male2--
Dil Kashi, Hai Dil Kashi,
Dil Kashi, Hai Dil Kashi
Dilkashi

--Female1--
Ta Na Na Ta Na Na Yeah
Ta Na Na Ta Na Na Yeah

--Male2--
Dilkashi"
18,"

--Male1--
Aray Peeli Chotiyaan,
Hawaeyn Sehen Si
Maahtaab Nazrain Teri,
Ya Khuda Ab Kya Karain

--Female--
Aankhain Meri Khargoshi
Honton Mein Hai Madhoshi
Chaand Ki Chudhi Meri Hai
O O Maarungi Main Do Choti
Ro Doongi Jhooti Mooti
Baadal Yeh Mere Peeche Hai
Sun Jharne, Tu Seedhe Kiyun Girey Hai
Tu Aaj Chal, Tu Mere Jaisa Ulta Chal
--Male1 And Male2--
Chal Halke Halke Ladhki Tu,
Itni Kya Jaldi Hai
Sab Ko Yeh Hawa Batlaati Thi,
Tu Ghar Se Nikalti Hai

--Female--
Main Raaton Se Jhagadh Loongi
Uchal Ke Chaand Ko Pakadh Loongi
Main Gir Gir Ke Sambhal Loongi
Main Saat Rangon Ko Badal Doongi
Cheezain Meri Lekhe Tu
Kyun Phir Se Nikalta Hai Paagal
--Male1 And Male2--
Chal Halke Halke Ladhki Tu,
Itni Kya Jaldi Hai
Sab Ko Yeh Hawa Batlaati Thi,
Tu Ghar Se Nikalti Hai

--Female--
Main Titlee Ki Saheli Hoon
Main Zulfon Mein Lipti Paheli Hoon
Baraf Ki Taraf Hai Ghar Mera
Odh Le Dhoop Woh Peeli Hoon
Sooraj Mere Chaaon
Le Kar Kiyun Doobta Hai Paagal
--Male1 And Male2--
Chal Halke Halke Ladhki Tu,
Itni Kya Jaldi Hai
Sab Ko Yeh Hawa Batlaati Thi,
Tu Ghar Se Nikalti Hai

--Female--
Aankhain Meri Khargoshi
Honton Mein Hai Madhoshi
Chaand Ki Chudhi Meri Hai
O O Maarungi Main Do Choti
Ro Doongi Jhooti Mooti
Baadal Yeh Mere Peeche Hai
Sun Jharne, Tu Seedhe Kiyun Girey Hai
Tu Aaj Chal, Tu Mere Jaisa Ulta Chal
--Male1 And Male2--
Chal Halke Halke Ladhki Tu,
Itni Kya Jaldi Hai
Sab Ko Yeh Hawa Batlaati Thi,
Tu Ghar Se Nikalti Hai"
19,"

Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar
U Na Hum De Bhula,
Khud Ko Hi Hum
Aise Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar
U Na Hum De Bhula
Khud Ko Hi Hum Aise
Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar

Karwat Karwat Sadiyaan Guzri
Udhte Lamhe Ko Kya Ginna
Tere Kaandhe Jag Ho Bana Kar
Aankhain Kholain Sapne Bunna
Zindagi De Bita Ek Ghar Mein Hum
Aise Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar

Ha Itni Aage Hum Hain Nikle
Duniya Peeche Reh Si Gayi Hai
Unke kadmon Se Chalne Ke
Aadat Apni Choot Gayi Hai
Meethi Si Yaad Bhar
Ban Baithe Hain Apni
Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar
U Na Hum De Bhula,
Khud Ko Hi Hum
Aise Pyar Itna Na Kar
Yeh Dil Jaata Hai Bhar


O Na Na
Aaaaaaa"
20,"Zaraa Maara Maara Sa
Jaane Kyun Dil Ye Ban Ban Ke Banjara
Darbadar Hai Bhatakta Yun Awaara
(Zaraa, Zaraa, Zaraa Gumshuda Sa) - 2) - 2

Woo Kya Ptaa Meri Takdeer Kya Hai
Main Na Jaanu Likha Kya Khuda Ne
Main Naye Raaste Dhoondta Hoon
Mil Rahe Hain Puraane Thikaane
Zaraa Maara Maara Sa
Jaane Kyun Dil Ye Ban Ban Ke Banjara
Darbadar Hai Bhatakta Yun Awaara
(Zaraa, Zaraa, Zaraa Gumshuda Sa) - 2

Hey Main Kahan Aa Gaya Hoon Kahan Se
Aur Na Jaane Kahan Jaa Rahan Hoon
Chaan Ke Khaak Rahon Ki Yun Hi
Yun Hi Jeeta Chale Jaa Raha Hoon
Zaraa Maara Maara Sa
Jaane Kyun Dil Ye Ban Ban Ke Banjara
Darbadar Hai Bhatakta Yun Awaara
(Zaraa, Zaraa, Zaraa Gumshuda Sa) - 2"
21,"Maula mere, maula mere 
maula mere, maula mere - 4
aankhein teri - 2, kitni haseen
ki inkaa aashiq, mein ban gayaa hoon
mujhako basaa le, iname tu
(ishq hai
maula mere, maula mere maula mere, maula mere - 2) - 3

ki inakaa aashiq, mein ban gayaa hoon
mujhako basaa le, iname tu

mujhase yeh har ghadi, meraa dil kahe
tum hi ho usaki aarzoo
mujhase yeh har ghadi, mere lab kahe
teri hi ho sab guftagoo
baatein teri itni haseen, main yaad inko jab kartaa hoon
phoolon si aaye, khushaboo

rakh loon chhupaa ke main kahin tujhako
saayaa bhi teraa naa main doon
rakh loon banaa ke kahin ghar, main tujhe
saath tere, main hi rahoon
julfen teri, itni ghani
dekh ke inako, yeh sochataa hoon
saaye me, inake main jiyoon
(ishq hai
maula mere, maula mere maula mere, maula mere - 2) - 3

(meraa dil yahi bolaa, meraa dil yahi bolaa,
yaara raaj yeh usane hai mujh par kholaa
ki hai ishq mohabbat, jiske dil mein
usko pasand karta hai maulaa) - 3"
22,"Ye Asmaan Yeh Zameen
Tu Basi Hai Har Kahin) - 2
Tere Bin Mera Jeena Nahin
(Tere Bin Kuch Nahin, Tere Bin Kuch Nahin) - 4

(Suni Suni Raatein, Balhayein Teri Yaadein
Kahan Le Chali Mujhko Deewangi) - 2
Tu Shums Main Kamar Mein
Zameen Pe Reh Guzar Mein
Hai Rehti Wahan Pe Teri Dilkashi
Ho Na Jaaun Paagal, Ho Na Jaaun Paagal
Hai Kaarvan Phir Bhi Kami
Tu Basi Hai Har Kahin
Tere Bin Mera Jeena Nahin
(Tere Bin Kuch Nahin, Tere Bin Kuch Nahin) - 4

Armaano Mein Basi Hai
Tu Khwabon Mein Basi Hai
Tu Dikhti Har Jagah Pe Tu Kahan Hai Chupi
Hai Doondhi Duniya Saari, Ye Zindagi Guzari
Kahin Te Mile Mujhko Teri Parchai
Ho Gaya Hoon Ghayal, Yaad Aaye Har Pal
Main Kahan Tu Kahin, Aisi Apni Zindagi
Tere Bin Mera Jeena Nahin
(Tere Bin Kuch Nahin, Tere Bin Kuch Nahin) - 4"
23,"Oye Paape Ek Peg De, Aa Masti Hun Labhiye
Oye Gubu Bhugu..
Teri Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu
Tera Kattna Oye Hoye Mainu Maari Jaave
Teri Mundri Vakhri Te Jind Vaari Jaave
Teri Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu Hoya Hu..

Main Jogeya, Main Jogeya
Tere Ishq Ne Kita Mainu Jogeya
Main Jogeya, Main Jogeya
Hun Chad Ke Na Jaanvi Mainu Chaliya
Hoya Hu ..
Oye Paape Ek Peg De, Aa Masti Hun Labhiye
Oye Gubu Bhugu..
Teri Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu
Tera Kattna Oye Hoye Mainu Maari Jaave
Teri Mundri Vakhri Te Jind Vaari Jaave
Oye Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu Hoya Hu..

Main Jogeya, Main Jogeya
Eh Ishq Da Rog Awaleya
Main Jogeya, Main Jogeya
Tere Ishq Ch Ho Gaya Chaleya Hoya Hu..
Oye Paape Ek Peg De, Aa Masti Hun Labhiye
Oye Gubu Bhugu..
Teri Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu
Tera Kattna Oye Hoye Mainu Maari Jaave
Teri Mundri Vakhri Te Jind Vaari Jaave
Oye Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu
Teri Lak Kardi, Gubu Bhugu Gubu
Teri Akh Kardi, Gubu Bhugu Gubu
Jind Vakh Kardi, Gubu Bhugu Gubu"
24,"Tap tap tapke, rosni
Chait chaand ki, chaand ki chaasni
Mann mein iss ka cho bhara
Rass ki pyaali, pyaali main bani

Maine dekh liya hai sab chakh kar - 4 times
Tere isak se meetha kuch bhi nahi - 2 times
Na sehad, na seera, na sakkar - 2 times
Tere isak se meetha kuch bhi nahi - 4 times

Main tupka tupka kadvi thi
Mann qatra qatra zehar bujha
Meri har ik baat ko nain hui
Tann pal pal jal ke roz bujha
Main tupka tupka kadvi thi
Mann qatra qatra zehar bujha
Meri har ik baat ko nain hui
Tann pal pal jal ke roz bujha
Mere deh pe dastak raaton ki
Aur namak bhari kuch baaton ki

Mere deh pe dastak raaton ki
Aur namak bhari kuch baaton ki
Na baat na karti hai barh kar
Maine dekh liya hai sab chakh kar
Tere isak se meetha tha tha ..
Tere isak se meetha kuch bhi nahi - 4 times

Jagmag jilmil lehrein jholi
Jagmag khelein aankh macholi
Bher bhaandh ki meethi boli
Jor bhi de o natkhat boli
Jagmag jilmil lehrein jholi
Jagmag khelein aankh macholi
Bher bhaandh ki meethi boli
Jor bhi de o natkhat boli
Tarpa na tarpa na tarpa na

Mann mehnga mehnga mangta hai
Tann maati maati mol bikey

Mann mehnga mehnga mangta hai
Tann maati maati mol bikey
Iss tann ke grahak laakhon hain
Koi mann ka na khareedaar dikhe

Iss mann ki basti mein paagal
Ik pal ki masti mein paagal
Iss mann ki basti mein paagal
Ik pal ki masti mein paagal

Har gudh, misri ko hans kar
Main ne dekh liya hai chakh kar
Tere isak se meetha kuch bhi nahi - 2 times
Na sehed, na seera, na sakkar - 2 times
Tere isak se meetha kuch bhi nahi .."
25,"Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar
Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar

Sauda hai dil ka yeh, tu kar bhi le
Mera jahaan baahon mein tu bhar bhi le
Saude mein de kasam, kasam bhi le
Aake tu nigaahon mein sanwar bhi le
Sauda udaanon ka hai ya aasmaano ka hai
Le le udaane meri, le mere par bhi le
Sauda umeedon ka hai, khwaabon ka neendon ka hai
Le le tu neendein meri, naino mein ghar bhi le

Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar

Dil kahe tere main honton se, baaton ko chupke se loon utha
Uss jagah dheere se, haule se, geeton ko apne main doon bitha
Ho dil kahe tere main honton se, baaton ko chupke se loon utha
Uss jagah dheere se, haule se, geeton ko apne main doon bitha
Sauda taraanon ka hai, dil ke fasaano ka hai
Le le taraane mere, honton pe dhar bhi le
Sauda ujaalon ka hai, roshan khayalon ka hai
Le le ujaale mere, aaja nazar bhi le

Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar

Seedhay saade, seedha seedha.
Maine tum ko, tune main ko

Main kabhi bhoolunga na tujhe, chaahe tu mujhko dena bhula
Aadatein jaisi hai tu meri, aadatein kaise bhoolun bhala
Oo main kabhi bhoolunga na tujhe, chaahe tu mujhko dena bhula
Aadatein jaisi hai tu meri, aadatein kaise bhoolun bhala

Sauda yeh vaadon ka hai, yaadon iraadon ka hai
Le le tu vaade chaahe tu toh mukar bhi le
Sauda ishaaron ka hai, chaahat ke maaron ka hai
Le le ishaare mere, inn ka asar bhi le

Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar
Seedhay saade saara saula seedha seedha hona jee
Maine tum ko paana hai ya tune main ko khona jee
Aaja dil ki karein saude baazi, kya naraazi arrey aare aare yaar"
